anonId,printer,count,classes
job-b50197af64,LG-640,4,CANCELED
job-556cd65c42,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-556cd65c42,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d5b2003fbd,LG-640,4,CANCELED
job-3d053caad4,LG-640,4,CANCELED
job-b50197af64,LG-640,4,CANCELED
job-556cd65c42,LG-640,2,CANCELED
job-556cd65c42,LG-640,4,CANCELED;FAILED
job-d5b2003fbd,LG-640,4,CANCELED
job-3d053caad4,LG-640,4,CANCELED
job-b50197af64,LG-640,4,CANCELED
job-556cd65c42,LG-640,2,CANCELED
job-556cd65c42,LG-640,4,CANCELED
job-b50197af64,LG-640,4,CANCELED;FAILED
job-6911def924,LG-640,12,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6911def924,LG-640,12,CANCELED
job-6911def924,LG-640,20,CANCELED;DUPLICATE_SUMMARY;FAILED;LG640_CMYK_ONLY
job-6911def924,LG-640,20,CANCELED
job-6911def924,LG-640,13,OTHER_EVENT:Print Start
job-6911def924,LG-640,9,DUPLICATE_SUMMARY;LG640_CMYK_ONLY;OTHER_EVENT:Print Start
job-2c85eb2d5c,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-2c85eb2d5c,LG-640,2,CANCELED
job-556cd65c42,LG-640,2,CANCELED
job-556cd65c42,LG-640,4,CANCELED
job-6911def924,LG-640,23,CANCELED;DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6911def924,LG-640,9,CANCELED
job-6911def924,LG-640,11,CANCELED;DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6911def924,LG-640,27,CANCELED
job-6911def924,LG-640,3,CANCELED
job-d5b2003fbd,LG-640,4,CANCELED
job-3d053caad4,LG-640,4,CANCELED
job-b50197af64,LG-640,4,CANCELED
job-dfa22bc579,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-5867ffd99e,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-64c9fb3603,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-499c0ac562,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e88328bc55,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6911def924,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-ee83ea3510,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-fa1da0ad82,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-ee83ea3510,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-69683003dc,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-69683003dc,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
